nItens,nKnapsacks,ExactTime,ExactResult,ColonyMeanTime,worse,best,mean,percent,iterations
10,1,0.000285844,2537,0.0152537,2537,2537,2537,100,52
10,2,0.00297991,2377,0.0126714,2377,2377,2377,100,52
10,3,0.0307576,2825,0.0194751,2809,2825,2823.4,90,57
10,4,0.299833,1895,0.0203384,1895,1895,1895,100,51
10,5,1.8184,1887,0.0189687,1887,1887,1887,100,52
10,6,9.0451,2462,0.019309,2462,2462,2462,100,56
10,7,32.8973,2499,0.0194778,2499,2499,2499,100,61
10,8,105.849,2170,0.0186281,2170,2170,2170,100,51
10,9,300.601,1497,0.0122216,1497,1497,1497,100,54
10,10,785.315,2435,0.0204477,2435,2435,2435,100,54
